Frequency (Hz),Power Spectral Density (×10^-6),Significant Peak
0.0,0.24110931386790200,TRUE
0.9765625,1.0316282467115400,TRUE
1.953125,1.5566998816734100,TRUE
2.9296875,2.387562627038820,TRUE
3.90625,3.4797697336445100,TRUE
4.8828125,3.8286896694921400,TRUE
5.859375,3.4855332441451000,TRUE
6.8359375,3.1661901527555600,TRUE
7.8125,3.0409977353469400,TRUE
8.7890625,3.130958567222320,TRUE
9.765625,3.259052430128550,TRUE
